bandgap,n,X_Tb,B_EV
2.09,1,457.5,296.2
2.38,1,457.5,177.8
1.88,2,457.5,177.8
1.73,3,457.5,177.8
1.66,4,457.5,177.8
2.79,1,331.9,177.8
2.06,1,457.5,177.8
3.24,1,331.9,177.8
1.97,1,457.5,296.2
1.85,1,457.5,296.2
2.28,1,457.5,177.8
2.33,1,457.5,177.8
1.93,1,457.5,296.2
2.33,1,457.5,177.8
2.29,1,457.5,177.8
2.71,3,331.9,177.8
3.59,1,238.6,177.8
1.82,1,457.5,177.8
1.51,3,457.5,177.8
1.51,3,457.5,177.8
2.33,1,457.5,327.6
2.45,2,457.5,327.6
2.35,3,457.5,327.6
2.3,4,457.5,327.6
2.45,2,331.9,177.8
2.215,1,457.5,177.8
2.181111111,2,457.5,177.8
1.81,3,457.5,177.8
1.655714286,4,457.5,177.8
1.83,5,457.5,177.8
1.58,6,457.5,177.8
2.1,1,457.5,296.2
1.95,2,457.5,296.2
1.6,3,457.5,296.2
1.585,4,457.5,296.2
1.42,4,457.5,296.2
1.76,1,331.9,306.7
2.24,1,457.5,177.8
2.27,2,331.9,177.8
2.12,2,457.5,177.8
1.34,3,457.5,296.2
2.55,2,331.9,177.8
2.4,3,331.9,177.8
2.03,2,457.5,177.8
1.92,3,457.5,177.8
1.9,4,457.5,177.8
1.96,4,457.5,177.8
1.6,5,457.5,177.8
1.59,6,457.5,177.8
1.57,7,457.5,177.8
2.31,3,331.9,296.2
1.65,2,457.5,296.2
3.07,1,331.9,177.8
2.95,1,331.9,177.8
3.45,1,238.6,177.8
2.33,1,457.5,177.8
2.26,1,457.5,177.8
1.92,1,457.5,296.2
2.6,1,331.9,177.8
3.08,1,238.6,177.8
3.24,1,331.9,100
3.21,1,331.9,177.8
2.75,3,331.9,177.8
3.45,3,238.6,177.8
2.7,3,331.9,177.8
1.61,6,457.5,177.8
1.59,10,457.5,177.8
2.74,1,238.6,306.7
3.18,1,457.5,177.8
2.84,1,331.9,100
3.04,1,331.9,177.8
2.98,1,331.9,177.8
2.72,1,331.9,177.8
3.27,1,238.6,177.8
2.27,1,457.5,177.8
1.89,2,457.5,177.8
1.73,3,457.5,177.8
2.06,1,457.5,296.2
2.1,2,457.5,177.8
1.96,3,457.5,177.8
1.85,4,457.5,177.8
2.97,1,331.9,177.8
2.07,1,457.5,296.2
2.02,2,457.5,177.8
2.23,1,457.5,177.8
2.29,1,457.5,177.8
2.1,2,457.5,296.2
1.74,4,457.5,177.8
2.77,1,331.9,177.8
2.1,2,457.5,165.8
2.18,2,384.5333333,165.8
5.29,1,238.6,100
1.8,1,320.2375,306.7
2.12,1,285.25,306.7
2.22,1,238.6,177.8
1.65,4,457.5,177.8
2.88,1,331.9,177.8
3.12,1,331.9,177.8
2.39,1,457.5,177.8
2.4,1,457.5,177.8
2.27,2,457.5,165.8
1.85,5,457.5,177.8
2.38,1,457.5,177.8
2.38,1,457.5,177.8
1.64,3,457.5,177.8
2.46,1,457.5,177.8
1.77,2,457.5,177.8
1.635,3,457.5,177.8
1.71,4,457.5,177.8
4.4,1,238.6,100
1.9,2,457.5,177.8
2.57,1,457.5,177.8
2.32,2,457.5,177.8
2.1,2,457.5,177.8
2.1,3,457.5,177.8
1.97,3,457.5,177.8
2.6,4,457.5,177.8
1.85,4,457.5,177.8
1.65,5,457.5,177.8
1.76,5,457.5,177.8
2.12,1,457.5,327.6
3,1,331.9,177.8
3.8,1,238.6,177.8
2.4,1,457.5,177.8
2.06,3,457.5,177.8
2.5,1,331.9,296.2
2,1,457.5,296.2
1.4,9,457.5,296.2
1.98,2,457.5,177.8
1.79,3,457.5,177.8
1.81,1,331.9,306.7
3.65,1,238.6,177.8
2.18,1,457.5,177.8
2.41,1,331.9,296.2
3.04,1,238.6,296.2
1.85,1,457.5,296.2
2.39,1,457.5,177.8
2.28,1,457.5,177.8
2.88,1,331.9,177.8
2.26,1,457.5,177.8
2.21,2,457.5,177.8
1.59,3,457.5,177.8
2.41,1,457.5,177.8
